
========================================================================================================================
DETAILED BELIEF CHANGE TABLES — HUMAN STUDY (USMLE SAMPLE)
========================================================================================================================

------------------------------------------------------------------------------------------------------------------------
TABLE 1: PER-CASE BELIEF CHANGES (sorted by persuasion type, then |Δbelief|)
------------------------------------------------------------------------------------------------------------------------

  Legend: [H] = Harmful (correct→incorrect), [P] = Helpful (incorrect→correct)
  S1Bel = initial belief, S2Bel = post-AI belief, ΔBel = belief change
  HL = # highlights, Rsn = provided reasoning, YoP = years of practice

  Case                     Model                             S1Bel  S2Bel    ΔBel Direction  Category           HL Rsn  Expertise                      YoP
  1 highlight           2  +0.080 +0.080  50.0%   0.0%    24  +0.193 +0.045  50.0%   8.3%
  2–3 highlights        6  +0.142 +0.050  50.0%   0.0%     9  +0.327 +0.310  77.8%  11.1%
  4+ highlights         4  +0.093 +0.105  75.0%  25.0%     6  +0.278 +0.265  83.3%   0.0%

------------------------------------------------------------------------------------------------------------------------
TABLE 7: AGGREGATE SUMMARY
------------------------------------------------------------------------------------------------------------------------

  Metric                                                  Harmful (C→I)      Helpful (I→C)        All
  --------------------------------------------------------------------------------------------------
  N (with belief data)                                               32                143        175
  Mean Δbelief                                                   +0.086             +0.208     +0.185
  Median Δbelief                                                 +0.025             +0.140     +0.100
  Stdev Δbelief                                                  +0.170             +0.284     +0.271
  Min Δbelief                                                    -0.200             -0.560     -0.560
  Max Δbelief                                                    +0.550             +1.000     +1.000
  % with increased belief                                         53.1%              62.2%      60.6%
  % with decreased belief                                         12.5%               6.3%       7.4%
  % with unchanged belief                                         34.4%              31.5%      32.0%
  Mean initial belief (step1)                                    +0.476             +0.405     +0.418
  Mean post-AI belief (step2)                                    +0.562             +0.613     +0.604
  % with highlights                                               37.5%              27.3%      29.1%
  % with annotator reasoning                                      93.8%              99.3%      98.3%
