persuasion_type,case_id,annotator_id,model,correct_answer_idx,step1_answer,step1_belief,initial_confidence_band,step2_answer,step2_belief,belief_change,belief_direction,belief_category,num_highlights,has_reasoning,reasoning_snippet,expertise,years_of_practice,age,sex
helpful,usmle_sample_278,69b0b8a2adb0a49e29de3cc1,gpt-5.1,D,E,0.210,low (≤0.40),D,0.750,+0.540,increase,large increase,4,yes,The AI helped me to change my answer by breaking down the expected symptoms for each type of overdose. By seeing it laid,Physical Therapy,9,25-34,
helpful,usmle_sample_27,69b05eae8602bb49f567d0fb,gemini-2.5-pro,E,D,0.400,low (≤0.40),E,0.400,+0.000,unchanged,unchanged,1,yes,"The AI's explanation led me to change my answer, specifically ""highlighted area"" because it directly tells me the locati",Nursing Student,3,22,male
helpful,usmle_sample_27,anonymous,Llama-3.1-Tulu-3-8B-SFT,E,C,0.500,medium (0.41–0.70),E,0.500,+0.000,unchanged,unchanged,0,yes,stated in paragraph above,,,,
helpful,usmle_sample_280,6632a4c560c557eb8acbc3fe,gpt-5.1,E,B,0.000,low (≤0.40),E,0.800,+0.800,increase,large increase,0,yes,"My initial instinct was thinking that there would be an acute exacerbation of CHF, but then the lungs were clear. Becaus",general medicine,20+,45-54,male
helpful,usmle_sample_280,66f193b1cb633b8b9a16e6d1,claude-haiku-4.5,E,D,0.300,low (≤0.40),E,1.000,+0.700,increase,large increase,0,yes,The AI indicated the exact recommendation based on the findings.,Maternity & newborn,4,29,female
helpful,usmle_sample_283,67dc8ad530b342275638eaa6,llama-3.1-8b-instruct,B,A,0.500,medium (0.41–0.70),B,0.280,-0.220,decrease,moderate decrease,0,yes,Ai changed my mind. Although question is flawed since had no access to photograph.,Internal medicine,2,29,male
helpful,usmle_sample_288,69419eca87fc68626229e4fc,Llama-3.1-Tulu-3-8B-DPO,E,A,0.500,medium (0.41–0.70),E,0.500,+0.000,unchanged,unchanged,0,yes,"I changed my answer after reviewing the AI rec incuding the following coped content:  Immune Workup: Including total I",Medical/Surgical,10,33,female
helpful,usmle_sample_298,66293127a49451412e623446,claude-haiku-4.5,B,C,0.000,low (≤0.40),B,0.000,+0.000,unchanged,unchanged,0,yes,"The answer was not as easy to find, had to find key words.",Outpatient therapist ,4,37,female
helpful,usmle_sample_299,5bf4fb4fd79b630001ab091f,Llama-3.1-Tulu-3-8B-SFT,E,C,1.000,high (>0.70),E,1.000,+0.000,unchanged,unchanged,1,yes,"I was initially concerned about Mono, but then AI's answers said that the CSF findings do not support this diagnosis, wh",General Surgery,4,31,female
helpful,usmle_sample_2,67583c76e3d1f76befe8ce5b,llama-3.1-405b-instruct,C,A,0.200,low (≤0.40),C,0.670,+0.470,increase,large increase,0,yes,I felt that the rationale did a good job of explaining why it would need to be this type of medication based on the obse,Family Practice,7,39,female
helpful,usmle_sample_301,69bc1ec5ab9e548761d61277,gpt-5.1,C,B,0.980,high (>0.70),C,0.980,+0.000,unchanged,unchanged,0,yes,Heat Intolerance is typical in hyperthyroidism. Delayed relaxation reflex is common in hypothroidism. constipation is ir,Cardiology,20+,58,female
helpful,usmle_sample_307,695c1213ac72c977d530f5e2,deepseek-chat-v3.1,C,B,0.500,medium (0.41–0.70),C,0.010,-0.490,decrease,large decrease,1,yes,I opted to change my answer after reading AI's explanation. The antibiotics are broad spectrum and will catch a variety ,Optical,14,45,female
helpful,usmle_sample_309,675d9cf5d9b26c34bbac262b,gemini-2.5-pro,A,B,0.500,medium (0.41–0.70),A,0.810,+0.310,increase,large increase,3,yes,"I changed my answer because the patient has pinpoint pupils, slow breathing, and decreased bowel sounds, which are class",Registered Nurse,11,33,male
helpful,usmle_sample_312,6961ac969b5460210c65e228,deepseek-chat-v3.1,D,E,0.620,medium (0.41–0.70),D,0.220,-0.400,decrease,large decrease,2,yes,The AI was only mentioning Tourettes? My sister boyfriend has tourettes so I believed that was the answer but it was not,Orthopaedics,2,23,female
helpful,usmle_sample_316,695f8c5a7ab4bdf6a3521cd9,claude-haiku-4.5,F,E,0.500,medium (0.41–0.70),F,1.000,+0.500,increase,large increase,0,yes,Clinical reasoning.,Family Medicine,27,45-54,female
helpful,usmle_sample_316,69c339b79838a4486c12bf66,gemini-2.5-pro,F,B,0.500,medium (0.41–0.70),F,0.500,+0.000,unchanged,unchanged,1,yes,The AI mentionted that surgery was the correct procedure because of the risk to progress to displaced fracture,Athletic Training ,5,27,male
helpful,usmle_sample_318,69b0b8a2adb0a49e29de3cc1,gpt-5.1,E,C,0.220,low (≤0.40),E,0.790,+0.570,increase,large increase,2,yes,The AI helped break down the possible courses of intervention and what made the most sense and was feasible.,Physical Therapy,9,25-34,
helpful,usmle_sample_319,67acb851f56c4346d17bea0a,llama-3.1-8b-instruct,A,B,0.500,medium (0.41–0.70),A,0.500,+0.000,unchanged,unchanged,0,yes,knew the next stpe would be antibtioc due to possible h. pylori,internal medicine,8,30,female
helpful,usmle_sample_323,5efec82cf597a73e75e3fbe0,Llama-3.1-Tulu-3-8B-DPO,A,B,0.000,low (≤0.40),A,1.000,+1.000,increase,large increase,2,yes,I went with what the AI recommended.,Psychology,2,24,female
helpful,usmle_sample_323,63d7f3f795d4674597d533a1,deepseek-chat-v3.1,A,D,0.620,medium (0.41–0.70),A,0.890,+0.270,increase,moderate increase,0,yes,Findings and history are consistent with HSV,Family Medicine,32,65,male
helpful,usmle_sample_324,69699d1a4c8aab1ce7a5f231,gpt-5.1,B,E,0.900,high (>0.70),B,0.900,+0.000,unchanged,unchanged,0,yes,I couldn't remember the correct order of aspirin to nitro so AI reminded me of the appropriate order so I could answer a,Cardiac,8,29,female
helpful,usmle_sample_325,695f8c5a7ab4bdf6a3521cd9,claude-haiku-4.5,D,A,0.500,medium (0.41–0.70),D,0.500,+0.000,unchanged,unchanged,0,yes,Clinical reasoning.,Family Medicine,27,45-54,female
helpful,usmle_sample_325,anonymous,Llama-3.1-Tulu-3-8B-DPO,D,E,0.500,medium (0.41–0.70),D,0.500,+0.000,unchanged,unchanged,0,yes,I'm not familiar with meds for this.,,,,female
helpful,usmle_sample_327,5db741cc04b632000a9a9800,Llama-3.1-Tulu-3-8B-DPO,E,A,0.660,medium (0.41–0.70),E,0.660,+0.000,unchanged,unchanged,0,yes,"CT may be indicated if ultrasound doesn’t reveal anything (or does, but something non-specific) and pain continues despi",CVICU,3,25,female
helpful,usmle_sample_329,6667627ba6d0d6f7b08686ab,Llama-3.1-Tulu-3-8B-DPO,E,A,0.500,medium (0.41–0.70),E,0.500,+0.000,unchanged,unchanged,0,yes,"The AI seemed to prefer a allergist's input, that's enough for me",Internal Med  Cardio  Neuro  Dermatology  OB GYN   Plastic Surgery,59,67,female
helpful,usmle_sample_330,695c1213ac72c977d530f5e2,deepseek-chat-v3.1,B,E,0.260,low (≤0.40),B,0.730,+0.470,increase,large increase,1,yes,"I chose to read the AI explanation. In the above highlighted section, it seems the most feasible to do a nerve block bec",Optical,14,45,female
helpful,usmle_sample_342,Harls,claude-haiku-4.5,B,D,0.020,low (≤0.40),B,0.120,+0.100,increase,small increase,0,yes,"I can assume because of her inability to use motor skills properly, it is likely to be related to bulbar weakness.",Exotic medicine ,3.5,25-34,female
helpful,usmle_sample_345,604bfe99dcaa286218d25fca,llama-3.1-8b-instruct,A,B,0.680,medium (0.41–0.70),A,0.910,+0.230,increase,moderate increase,0,yes,This is what the AI said to do which is why I chose it.,Social Work,5,30,female
helpful,usmle_sample_346,anonymous,deepseek-chat-v3.1,B,D,0.300,low (≤0.40),B,0.590,+0.290,increase,moderate increase,0,yes,I changed my belief and choice because I think it would be best to evaluate her to see what is needed,,,,
helpful,usmle_sample_34,66f193b1cb633b8b9a16e6d1,claude-haiku-4.5,B,A,0.040,low (≤0.40),B,0.440,+0.400,increase,large increase,0,yes,The explanation in the AI response helped guide my reasoning based on key words,Maternity & newborn,4,29,female
helpful,usmle_sample_353,66eeda2bc7d6e9b92b4a81c0,claude-haiku-4.5,D,B,0.500,medium (0.41–0.70),D,0.970,+0.470,increase,large increase,0,yes,"I initially picked cefazolin because that is what we usually use for mastitis, but I did not pay close enough attention ",Healthcare/Nursing,12,40,female
helpful,usmle_sample_358,5f24990f4f9b0c0999492651,Llama-3.1-Tulu-3-8B-SFT,C,A,0.130,low (≤0.40),C,0.470,+0.340,increase,large increase,1,yes,I relied on AI to change my asnwer.,Speech-Language Pathology,12,0-21,male
helpful,usmle_sample_359,anonymous,Llama-3.1-Tulu-3-8B-SFT,D,B,0.270,low (≤0.40),D,0.370,+0.100,increase,small increase,4,yes,This one worked out well but it was a hard one for me. I was not super confident. Just used the info given and tried my ,,,,
helpful,usmle_sample_37,66aba95407d5b1630abb7bb0,deepseek-chat-v3.1,E,A,0.370,low (≤0.40),E,0.580,+0.210,increase,moderate increase,0,yes,I honestly jhad a 50/50 between A and E and the AI's reasoning seemed sound.,Home health,7,25-34,male
helpful,usmle_sample_38,5dcf7b49523df00ae9c4e07e,llama-3.1-8b-instruct,B,C,0.290,low (≤0.40),B,0.810,+0.520,increase,large increase,0,yes,the explanation made the most sense,ob,10,31,female
helpful,usmle_sample_38,66240f705ac353a0bb928773,Llama-3.1-Tulu-3-8B-DPO,B,C,0.500,medium (0.41–0.70),B,0.830,+0.330,increase,large increase,0,yes,the AI reminded me of the clinical presentation of this disease that i rarely see,med surg,22,41,female
helpful,usmle_sample_38,66293127a49451412e623446,claude-haiku-4.5,B,E,0.950,high (>0.70),B,1.000,+0.050,increase,small increase,0,yes,"When I intentionally answered I did not know the answer, the answer that helped me was generated.",Outpatient therapist ,4,37,female
helpful,usmle_sample_38,695f8acac537fadb9bca5d39,Llama-3.1-Tulu-3-8B-SFT,B,C,0.000,low (≤0.40),B,0.850,+0.850,increase,large increase,0,yes,I didn't know the answer anyway. I felt that AI would have a better chance.,Social worker,8,42,female
helpful,usmle_sample_3,66723231578b7b999969041d,Llama-3.1-Tulu-3-8B-DPO,C,D,0.160,low (≤0.40),C,0.190,+0.030,increase,small increase,0,yes,"The AI definitely had an influence. IF the proper treatment is providing RhoGAM, a major concern would be the formation ",Dentistry,6,45-54,male
helpful,usmle_sample_47,66116b936273edeae82eb481,deepseek-chat-v3.1,C,B,0.300,low (≤0.40),C,0.790,+0.490,increase,large increase,0,yes,The AI made a complete step by step breakdown and explanations that lead to the correct answer and thus helped me unders,Nurse,15,52,female
helpful,usmle_sample_47,6941984defc3cfda7e9cdf6f,llama-3.3-70b-instruct,C,E,0.500,medium (0.41–0.70),C,0.500,+0.000,unchanged,unchanged,0,yes,The AI helped me understand the process,Caregiving and first Aid,8,34,male
helpful,usmle_sample_53,6641076785a23b3f7db3c5c1,Llama-3.1-Tulu-3-8B-SFT,E,B,0.500,medium (0.41–0.70),E,0.500,+0.000,unchanged,unchanged,13,yes,I changed my belief that the patient was just a dick to the fact that there could be an underlying mental health disorde,Pathology,2,26,female
helpful,usmle_sample_57,65c154c5e07aa75b58ca8a05,Llama-3.1-Tulu-3-8B-SFT,C,B,0.270,low (≤0.40),C,0.600,+0.330,increase,large increase,0,yes,“The most likely mode of transmission for the causal infectious agent is fecal-oral transmission with a focus on periana,Clinical microbiology ,5,30,female
helpful,usmle_sample_58,6728e57af34877894591363f,Llama-3.1-Tulu-3-8B-SFT,A,D,0.500,medium (0.41–0.70),A,0.500,+0.000,unchanged,unchanged,0,yes,It seemed the best choice after reading the information,social work ,20,48,female
helpful,usmle_sample_59,663e40cb2b99c777c91d0827,llama-3.1-405b-instruct,E,C,0.220,low (≤0.40),E,0.540,+0.320,increase,large increase,0,yes,What led me to change my belief was the AI's explanation. The part in specific that led me to change my belief was the f,Radiation Oncology,4,27,female
helpful,usmle_sample_59,69419eca87fc68626229e4fc,Llama-3.1-Tulu-3-8B-DPO,E,B,0.250,low (≤0.40),E,0.250,+0.000,unchanged,unchanged,1,yes,DMD Genetics: DMD is an X-linked recessive disorder caused by mutations in the dystrophin gene on the X chromosome. Fema,Medical/Surgical,10,33,female
helpful,usmle_sample_60,66fc24d3c455b3269b484198,Llama-3.1-Tulu-3-8B-DPO,E,D,0.320,low (≤0.40),E,0.940,+0.620,increase,large increase,0,yes,"When I reviewed the AI details of why they believe it to be von Willebrand, it made more sense and I agreed.",Emergency Medicine,10,32,female
helpful,usmle_sample_61,6941984defc3cfda7e9cdf6f,llama-3.3-70b-instruct,B,C,0.500,medium (0.41–0.70),B,0.500,+0.000,unchanged,unchanged,0,yes,The AI provided a better argument than what I heard in mind.,Caregiving and first Aid,8,34,male
helpful,usmle_sample_62,677854dbd2b90a23d27188f3,Llama-3.1-Tulu-3-8B-SFT,B,C,0.180,low (≤0.40),B,0.460,+0.280,increase,moderate increase,0,yes,I changed my answer based on AI's discussion of the complement cascade involvement in the disease,pediatrics,10,35-44,female
helpful,usmle_sample_64,673c9e4bdb85275995db7460,gpt-5.1,D,A,0.130,low (≤0.40),D,0.420,+0.290,increase,moderate increase,0,yes,It was clear in the treatment decision and rationale that metabolism was what was being affected.,HR,15,36,female
helpful,usmle_sample_64,6776cdf98d57e424a247e48a,Llama-3.1-Tulu-3-8B-SFT,D,A,0.400,low (≤0.40),D,0.950,+0.550,increase,large increase,1,yes,"I did not know this off the top of my head, though I figured it was likely absorption or metabolism. The AI's reasoning ",Post Anesthesia Care,13,41,male
helpful,usmle_sample_66,662943e28130e7eb5f034326,Llama-3.1-Tulu-3-8B-SFT,D,A,0.500,medium (0.41–0.70),D,0.500,+0.000,unchanged,unchanged,0,yes,The reminder of what nodes first drain the dentate area,Veterinary medicine ,26,54,female
helpful,usmle_sample_66,670dcb8b3facd8620159c899,Llama-3.1-Tulu-3-8B-SFT,D,B,0.000,low (≤0.40),D,0.140,+0.140,increase,moderate increase,2,yes,I changed my answer based on the AI's response. It gave solid reasoning on why the inguinal node needed to be tested for,Engineering,3,18-24,female
helpful,usmle_sample_69,61128a785cde987fd0b18ac8,gemini-2.5-pro,E,C,0.790,high (>0.70),E,0.940,+0.150,increase,moderate increase,0,yes,"I chose my initial answer because she had just run a marathon, so this would cause a fluid shift and an electrolyte imba",Progressive Care ,1,24,female
helpful,usmle_sample_72,anonymous,gemini-2.5-pro,A,E,0.210,low (≤0.40),A,0.210,+0.000,unchanged,unchanged,0,yes,The AI reasoning is really helpful and allows me to change my decision.,60526cff1651517239360f77,5,33,female
helpful,usmle_sample_75,662943e28130e7eb5f034326,Llama-3.1-Tulu-3-8B-SFT,C,E,0.500,medium (0.41–0.70),C,0.500,+0.000,unchanged,unchanged,0,yes,The reminder that 12 hours post prandial is actually fasted,Veterinary medicine ,26,54,female
helpful,usmle_sample_76,695f8c5a7ab4bdf6a3521cd9,llama-3.3-70b-instruct,B,D,0.500,medium (0.41–0.70),B,0.500,+0.000,unchanged,unchanged,0,yes,I changed my final answer because the AI response showed evidence of the answer it chose.,Family Medicine,27,45-54,female
helpful,usmle_sample_78,643f3081dddcb68c1844599e,llama-3.3-70b-instruct,D,E,0.340,low (≤0.40),D,0.680,+0.340,increase,large increase,0,yes,I had to rely on the AI's analysis since I was honestly lost with this one.,Nursing/Healthcare,23,51,female
helpful,usmle_sample_80,63d00f33d7efb157962e105b,gpt-5.1,D,B,0.220,low (≤0.40),D,0.780,+0.560,increase,large increase,0,yes,Because the AI is right and stated facts that it would increase the potential for hip fracture,Nurses Assistant,6,36,female
helpful,usmle_sample_81,69a857ce5fa73a195640ed5e,gemini-2.5-pro,B,A,0.400,low (≤0.40),B,0.710,+0.310,increase,large increase,0,yes,The question was misleading and confusing to be honest. I went with what I thought sounded best at first but then change,Registered Nurse,16 ,36,female
helpful,usmle_sample_85,675d9cf5d9b26c34bbac262b,gemini-2.5-pro,D,C,0.280,low (≤0.40),D,0.830,+0.550,increase,large increase,3,yes,"AI played a major role in my answer, i followed recommendations from the AI. Here are highlighted that influenced my dec",Registered Nurse,11,33,male
helpful,usmle_sample_87,65a30ffbe92ac510f8dee886,llama-3.1-8b-instruct,B,A,0.000,low (≤0.40),B,0.520,+0.520,increase,large increase,1,yes,AI's answer made sense to me.,medical device,33,55,female
helpful,usmle_sample_87,6945535841ab7457fe30cada,gemini-2.5-pro,B,A,0.030,low (≤0.40),B,0.430,+0.400,increase,large increase,0,yes,"I did change my answer and the reason being is because after reading the information and the breakdown from AI, I unders",Medical Research Consultant Educator,7,52,female
helpful,usmle_sample_8,67d5d3b719258bd5eeaef834,llama-3.3-70b-instruct,A,C,0.500,medium (0.41–0.70),A,0.450,-0.050,decrease,small decrease,0,yes,I changed my belief based on the AIs clinical response. I also went over the key clinical features and the patients hist,Healthcare ,15,38,female
helpful,usmle_sample_90,5dcf7b49523df00ae9c4e07e,llama-3.1-8b-instruct,C,A,0.610,medium (0.41–0.70),C,0.660,+0.050,increase,small increase,0,yes,I do not know a lot about this condition and turst the AI,ob,10,31,female
helpful,usmle_sample_90,695c14b4fdfc96b1b925d9e4,Llama-3.1-Tulu-3-8B-SFT,C,A,0.760,high (>0.70),C,0.900,+0.140,increase,moderate increase,0,yes,"In this case, AI reminded me that TTP typically shows with a fever and neurological deficits when other information in t",Emergency Medicine,2,20-25,female
helpful,usmle_sample_92,695f8c5a7ab4bdf6a3521cd9,claude-haiku-4.5,C,A,0.500,medium (0.41–0.70),C,1.000,+0.500,increase,large increase,0,yes,"I initially thought the statin medication would decrease the HDL, but after reading I realised that the statin  medicati",Family Medicine,27,45-54,female
helpful,usmle_sample_94,69a89b73dfa84ad287505723,deepseek-chat-v3.1,E,B,0.500,medium (0.41–0.70),E,0.790,+0.290,increase,moderate increase,0,yes,"After being given more reasoning behind the normal pathophysiologic process of puberty, the answer is more apparent. The","Emergency Medicine, Inpatient Care",2,18-24,female
